en_a	Gen_b	Ortholog_Status	Species_with_Ortholog	Hormone	Duplicated_Ortholog
Solyc04g081490	PGSC0003DMP400009992\tPGSC0003DMT400014466;PGSC0003DMP400017551\tPGSC0003DMT400025739;PGSC0003DMP400019582\tPGSC0003DMT400028800;PGSC0003DMP400025186\tPGSC0003DMT400037093;PGSC0003DMP400025187\tPGSC0003DMT400037094;PGSC0003DMP400033236\tPGSC0003DMT400049212;PGSC0003DMP400036236\tPGSC0003DMT400053750;PGSC0003DMP400049006\tPGSC0003DMT400072466;PGSC0003DMP400051081\tPGSC0003DMT400075425;PGSC0003DMP400052131\tPGSC0003DMT400076938;PGSC0003DMP400052954\tPGSC0003DMT400078206	Has Ortholog	Potato	Auxin	TRUE
Solyc04g081490	PGSC0003DMP400009992\tPGSC0003DMT400014466;PGSC0003DMP400017551\tPGSC0003DMT400025739;PGSC0003DMP400019582\tPGSC0003DMT400028800;PGSC0003DMP400025186\tPGSC0003DMT400037093;PGSC0003DMP400025187\tPGSC0003DMT400037094;PGSC0003DMP400033236\tPGSC0003DMT400049212;PGSC0003DMP400036236\tPGSC0003DMT400053750;PGSC0003DMP400049006\tPGSC0003DMT400072466;PGSC0003DMP400051081\tPGSC0003DMT400075425;PGSC0003DMP400052131\tPGSC0003DMT400076938;PGSC0003DMP400052954\tPGSC0003DMT400078206	Has Ortholog	Potato	Auxin	TRUE
Solyc04g081490	PGSC0003DMP400009992\tPGSC0003DMT400014466;PGSC0003DMP400017551\tPGSC0003DMT400025739;PGSC0003DMP400019582\tPGSC0003DMT400028800;PGSC0003DMP400025186\tPGSC0003DMT400037093;PGSC0003DMP400025187\tPGSC0003DMT400037094;PGSC0003DMP400033236\tPGSC0003DMT400049212;PGSC0003DMP400036236\tPGSC0003DMT400053750;PGSC0003DMP400049006\tPGSC0003DMT400072466;PGSC0003DMP400051081\tPGSC0003DMT400075425;PGSC0003DMP400052131\tPGSC0003DMT400076938;PGSC0003DMP400052954\tPGSC0003DMT400078206	Has Ortholog	Potato	Auxin	TRUE
Solyc04g081490	PGSC0003DMP400009992\tPGSC0003DMT400014466;PGSC0003DMP400017551\tPGSC0003DMT400025739;PGSC0003DMP400019582\tPGSC0003DMT400028800;PGSC0003DMP400025186\tPGSC0003DMT400037093;PGSC0003DMP400025187\tPGSC0003DMT400037094;PGSC0003DMP400033236\tPGSC0003DMT400049212;PGSC0003DMP400036236\tPGSC0003DMT400053750;PGSC0003DMP400049006\tPGSC0003DMT400072466;PGSC0003DMP400051081\tPGSC0003DMT400075425;PGSC0003DMP400052131\tPGSC0003DMT400076938;PGSC0003DMP400052954\tPGSC0003DMT400078206	Has Ortholog	Potato	Auxin	TRUE
Solyc04g081490	PGSC0003DMP400009992\tPGSC0003DMT400014466;PGSC0003DMP400017551\tPGSC0003DMT400025739;PGSC0003DMP400019582\tPGSC0003DMT400028800;PGSC0003DMP400025186\tPGSC0003DMT400037093;PGSC0003DMP400025187\tPGSC0003DMT400037094;PGSC0003DMP400033236\tPGSC0003DMT400049212;PGSC0003DMP400036236\tPGSC0003DMT400053750;PGSC0003DMP400049006\tPGSC0003DMT400072466;PGSC0003DMP400051081\tPGSC0003DMT400075425;PGSC0003DMP400052131\tPGSC0003DMT400076938;PGSC0003DMP400052954\tPGSC0003DMT400078206	Has Ortholog	Potato	Auxin	TRUE
Solyc04g081490	PGSC0003DMP400009992\tPGSC0003DMT400014466;PGSC0003DMP400017551\tPGSC0003DMT400025739;PGSC0003DMP400019582\tPGSC0003DMT400028800;PGSC0003DMP400025186\tPGSC0003DMT400037093;PGSC0003DMP400025187\tPGSC0003DMT400037094;PGSC0003DMP400033236\tPGSC0003DMT400049212;PGSC0003DMP400036236\tPGSC0003DMT400053750;PGSC0003DMP400049006\tPGSC0003DMT400072466;PGSC0003DMP400051081\tPGSC0003DMT400075425;PGSC0003DMP400052131\tPGSC0003DMT400076938;PGSC0003DMP400052954\tPGSC0003DMT400078206	Has Ortholog	Potato	Auxin	TRUE
Solyc04g081490	SLYcer03g00455;SLYcer04g05754;SLYcer06g00359;SLYcer06g05219;SLYcer10g05485;SLYcer10g05809;SLYcer10g05983;SLYcer12g04766	Has Ortholog	Tomato cherry	Auxin	TRUE
Solyc04g081490	SLYcer03g00455;SLYcer04g05754;SLYcer06g00359;SLYcer06g05219;SLYcer10g05485;SLYcer10g05809;SLYcer10g05983;SLYcer12g04766	Has Ortholog	Tomato cherry	Auxin	TRUE
Solyc04g081490	SLYcer03g00455;SLYcer04g05754;SLYcer06g00359;SLYcer06g05219;SLYcer10g05485;SLYcer10g05809;SLYcer10g05983;SLYcer12g04766	Has Ortholog	Tomato cherry	Auxin	TRUE
Solyc04g081490	SLYcer03g00455;SLYcer04g05754;SLYcer06g00359;SLYcer06g05219;SLYcer10g05485;SLYcer10g05809;SLYcer10g05983;SLYcer12g04766	Has Ortholog	Tomato cherry	Auxin	TRUE
Solyc04g081490	SLYcer03g00455;SLYcer04g05754;SLYcer06g00359;SLYcer06g05219;SLYcer10g05485;SLYcer10g05809;SLYcer10g05983;SLYcer12g04766	Has Ortholog	Tomato cherry	Auxin	TRUE
Solyc04g081490	SLYcer03g00455;SLYcer04g05754;SLYcer06g00359;SLYcer06g05219;SLYcer10g05485;SLYcer10g05809;SLYcer10g05983;SLYcer12g04766	Has Ortholog	Tomato cherry	Auxin	TRUE
Solyc04g081490	SLYcer03g00455;SLYcer04g05754;SLYcer06g00359;SLYcer06g05219;SLYcer10g05485;SLYcer10g05809;SLYcer10g05983;SLYcer12g04766	Has Ortholog	Tomato cherry	Auxin	TRUE
Solyc04g081490	SLYcer03g00455;SLYcer04g05754;SLYcer06g00359;SLYcer06g05219;SLYcer10g05485;SLYcer10g05809;SLYcer10g05983;SLYcer12g04766	Has Ortholog	Tomato cherry	Auxin	TRUE
Solyc04g081490	Sopen03g004550;Sopen03g037700;Sopen04g035100;Sopen06g001890;Sopen06g011750;Sopen06g033030;Sopen10g031450;Sopen10g034480;Sopen10g036160;Sopen12g031170	Has Ortholog	S. pennellii	Auxin	TRUE
Solyc04g081490	Sopen03g004550;Sopen03g037700;Sopen04g035100;Sopen06g001890;Sopen06g011750;Sopen06g033030;Sopen10g031450;Sopen10g034480;Sopen10g036160;Sopen12g031170	Has Ortholog	S. pennellii	Auxin	TRUE
Solyc04g081490	Sopen03g004550;Sopen03g037700;Sopen04g035100;Sopen06g001890;Sopen06g011750;Sopen06g033030;Sopen10g031450;Sopen10g034480;Sopen10g036160;Sopen12g031170	Has Ortholog	S. pennellii	Auxin	TRUE
Solyc04g081490	Sopen03g004550;Sopen03g037700;Sopen04g035100;Sopen06g001890;Sopen06g011750;Sopen06g033030;Sopen10g031450;Sopen10g034480;Sopen10g036160;Sopen12g031170	Has Ortholog	S. pennellii	Auxin	TRUE
Solyc04g081490	Sopen03g004550;Sopen03g037700;Sopen04g035100;Sopen06g001890;Sopen06g011750;Sopen06g033030;Sopen10g031450;Sopen10g034480;Sopen10g036160;Sopen12g031170	Has Ortholog	S. pennellii	Auxin	TRUE
Solyc04g081490	Sopen03g004550;Sopen03g037700;Sopen04g035100;Sopen06g001890;Sopen06g011750;Sopen06g033030;Sopen10g031450;Sopen10g034480;Sopen10g036160;Sopen12g031170	Has Ortholog	S. pennellii	Auxin	TRUE
Solyc04g081490	Sopen03g004550;Sopen03g037700;Sopen04g035100;Sopen06g001890;Sopen06g011750;Sopen06g033030;Sopen10g031450;Sopen10g034480;Sopen10g036160;Sopen12g031170	Has Ortholog	S. pennellii	Auxin	TRUE
Solyc04g081490	Sopen03g004550;Sopen03g037700;Sopen04g035100;Sopen06g001890;Sopen06g011750;Sopen06g033030;Sopen10g031450;Sopen10g034480;Sopen10g036160;Sopen12g031170	Has Ortholog	S. pennellii	Auxin	TRUE
Solyc04g081490	Sopen03g004550;Sopen03g037700;Sopen04g035100;Sopen06g001890;Sopen06g011750;Sopen06g033030;Sopen10g031450;Sopen10g034480;Sopen10g036160;Sopen12g031170	Has Ortholog	S. pennellii	Auxin	TRUE
Solyc04g081490	Sopen03g004550;Sopen03g037700;Sopen04g035100;Sopen06g001890;Sopen06g011750;Sopen06g033030;Sopen10g031450;Sopen10g034480;Sopen10g036160;Sopen12g031170	Has Ortholog	S. pennellii	Auxin	TRUE
Solyc04g081490	SPI03g00676;SPI04g05256;SPI06g00137;SPI06g02685;SPI06g05108;SPI10g03985;SPI10g04344;SPI10g04534;SPI12g04729	Has Ortholog	S. pimp.	Auxin	TRUE
Solyc04g081490	SPI03g00676;SPI04g05256;SPI06g00137;SPI06g02685;SPI06g05108;SPI10g03985;SPI10g04344;SPI10g04534;SPI12g04729	Has Ortholog	S. pimp.	Auxin	TRUE
Solyc04g081490	SPI03g00676;SPI04g05256;SPI06g00137;SPI06g02685;SPI06g05108;SPI10g03985;SPI10g04344;SPI10g04534;SPI12g04729	Has Ortholog	S. pimp.	Auxin	TRUE
Solyc04g081490	SPI03g00676;SPI04g05256;SPI06g00137;SPI06g02685;SPI06g05108;SPI10g03985;SPI10g04344;SPI10g04534;SPI12g04729	Has Ortholog	S. pimp.	Auxin	TRUE
Solyc04g081490	SPI03g00676;SPI04g05256;SPI06g00137;SPI06g02685;SPI06g05108;SPI10g03985;SPI10g04344;SPI10g04534;SPI12g04729	Has Ortholog	S. pimp.	Auxin	TRUE
Solyc04g081490	SPI03g00676;SPI04g05256;SPI06g00137;SPI06g02685;SPI06g05108;SPI10g03985;SPI10g04344;SPI10g04534;SPI12g04729	Has Ortholog	S. pimp.	Auxin	TRUE
Solyc04g081490	SPI03g00676;SPI04g05256;SPI06g00137;SPI06g02685;SPI06g05108;SPI10g03985;SPI10g04344;SPI10g04534;SPI12g04729	Has Ortholog	S. pimp.	Auxin	TRUE
Solyc04g081490	SPI03g00676;SPI04g05256;SPI06g00137;SPI06g02685;SPI06g05108;SPI10g03985;SPI10g04344;SPI10g04534;SPI12g04729	Has Ortholog	S. pimp.	Auxin	TRUE
Solyc04g081490	SPI03g00676;SPI04g05256;SPI06g00137;SPI06g02685;SPI06g05108;SPI10g03985;SPI10g04344;SPI10g04534;SPI12g04729	Has Ortholog	S. pimp.	Auxin	TRUE
Solyc05g009390	Capang11g002200	Has Ortholog	Wild pepper	Auxin	FALSE
Solyc05g009390	Capana11g002307	Has Ortholog	Dom. pepper	Auxin	FALSE
Solyc05g009390	PGSC0003DMP400025618\tPGSC0003DMT400037702	Has Ortholog	Potato	Auxin	FALSE
Solyc05g009390	SLYcer05g00589	Has Ortholog	Tomato cherry	Auxin	FALSE
Solyc05g009390	Sopen05g005190	Has Ortholog	S. pennellii	Auxin	FALSE
Solyc05g009390	SPI05g00620	Has Ortholog	S. pimp.	Auxin	FALSE
Solyc05g011920	Capang11g001968	Has Ortholog	Wild pepper	Auxin	FALSE
Solyc05g011920	Capana11g002035	Has Ortholog	Dom. pepper	Auxin	FALSE
Solyc05g011920	PGSC0003DMP400049196\tPGSC0003DMT400072729	Has Ortholog	Potato	Auxin	FALSE
Solyc05g011920	SLYcer05g00805	Has Ortholog	Tomato cherry	Auxin	FALSE
Solyc05g011920	Sopen05g006660	Has Ortholog	S. pennellii	Auxin	FALSE
Solyc05g011920	SPI05g00846	Has Ortholog	S. pimp.	Auxin	FALSE
Solyc05g014370	Capang11g001144	Has Ortholog	Wild pepper	Auxin	FALSE
Solyc05g014370	Capana11g001161	Has Ortholog	Dom. pepper	Auxin	FALSE
Solyc05g014370	PGSC0003DMP400030498\tPGSC0003DMT400045025	Has Ortholog	Potato	Auxin	FALSE
Solyc05g014370	SLYcer05g01103	Has Ortholog	Tomato cherry	Auxin	FALSE
Solyc05g014370	Sopen05g009500	Has Ortholog	S. pennellii	Auxin	FALSE
Solyc05g014370	SPI05g01176	Has Ortholog	S. pimp.	Auxin	FALSE
Solyc05g050800	Capang05g001288	Has Ortholog	Wild pepper	Auxin	FALSE
Solyc05g050800	Capana05g001589	Has Ortholog	Dom. pepper	Auxin	FALSE
Solyc05g050800	PGSC0003DMP400012399\tPGSC0003DMT400018012	Has Ortholog	Potato	Auxin	FALSE
Solyc05g050800	SLYcer10g02657	Has Ortholog	Tomato cherry	Auxin	FALSE
Solyc05g050800	Sopen05g029280	Has Ortholog	S. pennellii	Auxin	FALSE
Solyc05g050800	SPI05g04314	Has Ortholog	S. pimp.	Auxin	FALSE
Solyc05g056570	Capang07g000013	Has Ortholog	Wild pepper	Auxin	FALSE
Solyc05g056570	Capana00g002393	Has Ortholog	Dom. pepper	Auxin	FALSE
Solyc05g056570	PGSC0003DMP400040554\tPGSC0003DMT400060262	Has Ortholog	Potato	Auxin	FALSE
Solyc05g056570	SLYcer10g01980	Has Ortholog	Tomato cherry	Auxin	FALSE
Solyc05g056570	Sopen05g034970	Has Ortholog	S. pennellii	Auxin	FALSE
Solyc06g008280	Capang06g001268	Has Ortholog	Wild pepper	Auxin	FALSE
Solyc06g008280	Capana06g001307	Has Ortholog	Dom. pepper	Auxin	FALSE
Solyc06g008280	PGSC0003DMP400025903\tPGSC0003DMT400038121	Has Ortholog	Potato	Auxin	FALSE
Solyc06g008290	NA	No Ortholog	None	Auxin	FALSE
Solyc06g008330	Capang06g002770	Has Ortholog	Wild pepper	Auxin	FALSE
Solyc06g008330	Capana06g003010	Has Ortholog	Dom. pepper	Auxin	FALSE
Solyc06g008330	PGSC0003DMP400044246\tPGSC0003DMT400065573	Has Ortholog	Potato	Auxin	FALSE
Solyc06g008330	SLYcer06g00520	Has Ortholog	Tomato cherry	Auxin	FALSE
Solyc06g008330	Sopen06g003180	Has Ortholog	S. pennellii	Auxin	FALSE
Solyc06g008330	SPI06g00305	Has Ortholog	S. pimp.	Auxin	FALSE
Solyc06g050810	PGSC0003DMP400050753\tPGSC0003DMT400074946	Has Ortholog	Potato	Auxin	FALSE
Solyc06g050810	SLYcer06g03395	Has Ortholog	Tomato cherry	Auxin	FALSE
Solyc06g050810	Sopen06g016490	Has Ortholog	S. pennellii	Auxin	FALSE
Solyc06g050810	SPI06g03318	Has Ortholog	S. pimp.	Auxin	FALSE
Solyc06g050930	Capang06g002119	Has Ortholog	Wild pepper	Auxin	FALSE
Solyc06g050930	Capana06g002262	Has Ortholog	Dom. pepper	Auxin	FALSE
Solyc06g050930	SLYcer06g03418	Has Ortholog	Tomato cherry	Auxin	FALSE
Solyc06g050930	Sopen06g016660	Has Ortholog	S. pennellii	Auxin	FALSE
Solyc06g050930	SPI06g03340	Has Ortholog	S. pimp.	Auxin	FALSE
Solyc06g053180	Capang06g000159	Has Ortholog	Wild pepper	Auxin	FALSE
Solyc06g053180	PGSC0003DMP400002227\tPGSC0003DMT400003093	Has Ortholog	Potato	Auxin	FALSE
Solyc06g053180	SLYcer06g03597	Has Ortholog	Tomato cherry	Auxin	FALSE
Solyc06g053710	Capang06g002034	Has Ortholog	Wild pepper	Auxin	FALSE
Solyc06g053710	Capana06g002186	Has Ortholog	Dom. pepper	Auxin	FALSE
Solyc06g053710	PGSC0003DMP400028451\tPGSC0003DMT400041983;PGSC0003DMP400028452\tPGSC0003DMT400041984	Has Ortholog	Potato	Auxin	TRUE
Solyc06g053710	PGSC0003DMP400028451\tPGSC0003DMT400041983;PGSC0003DMP400028452\tPGSC0003DMT400041984	Has Ortholog	Potato	Auxin	TRUE
Solyc06g053710	SLYcer06g03659	Has Ortholog	Tomato cherry	Auxin	FALSE
Solyc06g053710	Sopen06g018820	Has Ortholog	S. pennellii	Auxin	FALSE
Solyc06g053710	SPI06g03568	Has Ortholog	S. pimp.	Auxin	FALSE
Solyc06g053760	Capang06g002092	Has Ortholog	Wild pepper	Auxin	FALSE
Solyc06g053760	Capana06g002232	Has Ortholog	Dom. pepper	Auxin	FALSE
Solyc06g053760	PGSC0003DMP400028450\tPGSC0003DMT400041982	Has Ortholog	Potato	Auxin	FALSE
Solyc06g053760	SLYcer06g03663	Has Ortholog	Tomato cherry	Auxin	FALSE
Solyc06g053760	Sopen06g018880	Has Ortholog	S. pennellii	Auxin	FALSE
Solyc06g053760	SPI06g03573	Has Ortholog	S. pimp.	Auxin	FALSE
Solyc06g068740	Capang06g001021	Has Ortholog	Wild pepper	Auxin	FALSE
Solyc06g068740	Capana06g001072	Has Ortholog	Dom. pepper	Auxin	FALSE
Solyc06g068740	PGSC0003DMP400044334\tPGSC0003DMT400065718	Has Ortholog	Potato	Auxin	FALSE
Solyc06g068740	SLYcer06g04509	Has Ortholog	Tomato cherry	Auxin	FALSE
Solyc06g068740	Sopen06g026020	Has Ortholog	S. pennellii	Auxin	FALSE
Solyc06g068740	SPI06g04367	Has Ortholog	S. pimp.	Auxin	FALSE
Solyc06g069570	Capang06g000973	Has Ortholog	Wild pepper	Auxin	FALSE
Solyc06g069570	Capana00g004735	Has Ortholog	Dom. pepper	Auxin	FALSE
Solyc06g069570	PGSC0003DMP400055866\tPGSC0003DMT400083166	Has Ortholog	Potato	Auxin	FALSE
Solyc06g069570	SLYcer06g04605	Has Ortholog	Tomato cherry	Auxin	FALSE
Solyc06g069570	Sopen06g026870	Has Ortholog	S. pennellii	Auxin	FALSE
Solyc06g069570	SPI06g04464	Has Ortholog	S. pimp.	Auxin	FALSE
Solyc06g072330	Capang06g000783	Has Ortholog	Wild pepper	Auxin	FALSE
Solyc06g072330	PGSC0003DMP400046974\tPGSC0003DMT400069578	Has Ortholog	Potato	Auxin	FALSE
Solyc06g072330	SLYcer06g04788	Has Ortholog	Tomato cherry	Auxin	FALSE
Solyc06g072330	Sopen06g028700	Has Ortholog	S. pennellii	Auxin	FALSE
Solyc06g072330	SPI06g04648	Has Ortholog	S. pimp.	Auxin	FALSE
Solyc06g073540	Capang06g000655	Has Ortholog	Wild pepper	Auxin	FALSE
Solyc06g073540	Capana06g000702	Has Ortholog	Dom. pepper	Auxin	FALSE
Solyc06g073540	PGSC0003DMP400046884\tPGSC0003DMT400069461	Has Ortholog	Potato	Auxin	FALSE
Solyc06g073540	Sopen06g029900	Has Ortholog	S. pennellii	Auxin	FALSE
Solyc06g074770	PGSC0003DMP400012639\tPGSC0003DMT400018368	Has Ortholog	Potato	Auxin	FALSE
Solyc06g074770	SLYcer06g05040	Has Ortholog	Tomato cherry	Auxin	FALSE
Solyc06g074770	Sopen06g031210	Has Ortholog	S. pennellii	Auxin	FALSE
Solyc06g074770	SPI06g04900	Has Ortholog	S. pimp.	Auxin	FALSE
Solyc07g007370	Capang07g000344	Has Ortholog	Wild pepper	Auxin	FALSE
Solyc07g007370	Capana07g000326	Has Ortholog	Dom. pepper	Auxin	FALSE
Solyc07g007370	PGSC0003DMP400053511\tPGSC0003DMT400078954	Has Ortholog	Potato	Auxin	FALSE
Solyc07g007370	SLYcer07g00423	Has Ortholog	Tomato cherry	Auxin	FALSE
Solyc07g007370	Sopen07g003440	Has Ortholog	S. pennellii	Auxin	FALSE
Solyc07g007370	SPI07g00477	Has Ortholog	S. pimp.	Auxin	FALSE
Solyc07g008320	Capang03g004425;Capang03g004426;Capang03g004427	Has Ortholog	Wild pepper	Auxin	TRUE
Solyc07g008320	Capang03g004425;Capang03g004426;Capang03g004427	Has Ortholog	Wild pepper	Auxin	TRUE
Solyc07g008320	Capang03g004425;Capang03g004426;Capang03g004427	Has Ortholog	Wild pepper	Auxin	TRUE
Solyc07g008320	Capana03g004622;Capana03g004625;Capana05g000846;Capana05g000852	Has Ortholog	Dom. pepper	Auxin	TRUE
Solyc07g008320	Capana03g004622;Capana03g004625;Capana05g000846;Capana05g000852	Has Ortholog	Dom. pepper	Auxin	TRUE
Solyc07g008320	Capana03g004622;Capana03g004625;Capana05g000846;Capana05g000852	Has Ortholog	Dom. pepper	Auxin	TRUE
Solyc07g008320	Capana03g004622;Capana03g004625;Capana05g000846;Capana05g000852	Has Ortholog	Dom. pepper	Auxin	TRUE
Solyc07g008320	PGSC0003DMP400061011\tPGSC0003DMT400089336;PGSC0003DMP400061264\tPGSC0003DMT400089589;PGSC0003DMP400065611\tPGSC0003DMT400093936;PGSC0003DMP400068457\tPGSC0003DMT400096782	Has Ortholog	Potato	Auxin	TRUE
Solyc07g008320	PGSC0003DMP400061011\tPGSC0003DMT400089336;PGSC0003DMP400061264\tPGSC0003DMT400089589;PGSC0003DMP400065611\tPGSC0003DMT400093936;PGSC0003DMP400068457\tPGSC0003DMT400096782	Has Ortholog	Potato	Auxin	TRUE
Solyc07g008320	PGSC0003DMP400061011\tPGSC0003DMT400089336;PGSC0003DMP400061264\tPGSC0003DMT400089589;PGSC0003DMP400065611\tPGSC0003DMT400093936;PGSC0003DMP400068457\tPGSC0003DMT400096782	Has Ortholog	Potato	Auxin	TRUE
Solyc07g008320	PGSC0003DMP400061011\tPGSC0003DMT400089336;PGSC0003DMP400061264\tPGSC0003DMT400089589;PGSC0003DMP400065611\tPGSC0003DMT400093936;PGSC0003DMP400068457\tPGSC0003DMT400096782	Has Ortholog	Potato	Auxin	TRUE
Solyc07g008320	SLYcer09g04792	Has Ortholog	Tomato cherry	Auxin	FALSE
Solyc07g008320	Sopen09g031720;Sopen09g031730	Has Ortholog	S. pennellii	Auxin	TRUE
Solyc07g008320	Sopen09g031720;Sopen09g031730	Has Ortholog	S. pennellii	Auxin	TRUE
Solyc07g008320	SPI09g04451;SPI09g04454	Has Ortholog	S. pimp.	Auxin	TRUE
Solyc07g008320	SPI09g04451;SPI09g04454	Has Ortholog	S. pimp.	Auxin	TRUE
Solyc07g008620	SLYcer07g00577	Has Ortholog	Tomato cherry	Auxin	FALSE
Solyc07g008620	Sopen07g004560	Has Ortholog	S. pennellii	Auxin	FALSE
Solyc07g032480	PGSC0003DMP400029920\tPGSC0003DMT400044127	Has Ortholog	Potato	Auxin	FALSE
Solyc07g032480	SLYcer07g02114	Has Ortholog	Tomato cherry	Auxin	FALSE
Solyc07g032480	Sopen07g015350	Has Ortholog	S. pennellii	Auxin	FALSE
Solyc07g032480	SPI07g03615	Has Ortholog	S. pimp.	Auxin	FALSE
Solyc07g043310	Capana07g001086	Has Ortholog	Dom. pepper	Auxin	FALSE
Solyc07g043310	PGSC0003DMP400020840\tPGSC0003DMT400030683	Has Ortholog	Potato	Auxin	FALSE
Solyc07g043310	SLYcer07g03859	Has Ortholog	Tomato cherry	Auxin	FALSE
Solyc07g043310	Sopen07g022870	Has Ortholog	S. pennellii	Auxin	FALSE
Solyc07g043310	SPI07g04571	Has Ortholog	S. pimp.	Auxin	FALSE
Solyc07g049390	Capang07g001359	Has Ortholog	Wild pepper	Auxin	FALSE
Solyc07g049390	Capana07g001334	Has Ortholog	Dom. pepper	Auxin	FALSE
Solyc07g049390	PGSC0003DMP400001307\tPGSC0003DMT400001771;PGSC0003DMP400001308\tPGSC0003DMT400001772	Has Ortholog	Potato	Auxin	TRUE
Solyc07g049390	PGSC0003DMP400001307\tPGSC0003DMT400001771;PGSC0003DMP400001308\tPGSC0003DMT400001772	Has Ortholog	Potato	Auxin	TRUE
Solyc07g049390	SLYcer07g04343	Has Ortholog	Tomato cherry	Auxin	FALSE
Solyc07g049390	Sopen07g024730	Has Ortholog	S. pennellii	Auxin	FALSE
Solyc07g049390	SPI07g05051	Has Ortholog	S. pimp.	Auxin	FALSE
Solyc07g053550	Capang07g001775	Has Ortholog	Wild pepper	Auxin	FALSE
Solyc07g053550	Capana07g001774	Has Ortholog	Dom. pepper	Auxin	FALSE
Solyc07g053550	PGSC0003DMP400016619\tPGSC0003DMT400024317	Has Ortholog	Potato	Auxin	FALSE
Solyc07g053550	SLYcer07g04873	Has Ortholog	Tomato cherry	Auxin	FALSE
Solyc07g053550	Sopen07g027500	Has Ortholog	S. pennellii	Auxin	FALSE
Solyc07g053550	SPI07g05597	Has Ortholog	S. pimp.	Auxin	FALSE
Solyc07g066040	Capang07g002430	Has Ortholog	Wild pepper	Auxin	FALSE
Solyc07g066040	Capana07g002434	Has Ortholog	Dom. pepper	Auxin	FALSE
Solyc07g066040	PGSC0003DMP400068618\tPGSC0003DMT400096943	Has Ortholog	Potato	Auxin	FALSE
Solyc07g066040	SLYcer07g05642	Has Ortholog	Tomato cherry	Auxin	FALSE
Solyc07g066040	Sopen07g034230	Has Ortholog	S. pennellii	Auxin	FALSE
Solyc07g066040	SPI07g06360	Has Ortholog	S. pimp.	Auxin	FALSE
Solyc07g066060	Capang07g002431	Has Ortholog	Wild pepper	Auxin	FALSE
Solyc07g066060	Capana07g002435	Has Ortholog	Dom. pepper	Auxin	FALSE
Solyc07g066060	PGSC0003DMP400038295\tPGSC0003DMT400056966	Has Ortholog	Potato	Auxin	FALSE
Solyc07g066060	SLYcer07g05643	Has Ortholog	Tomato cherry	Auxin	FALSE
Solyc07g066060	Sopen07g034240	Has Ortholog	S. pennellii	Auxin	FALSE
Solyc07g066060	SPI07g06361	Has Ortholog	S. pimp.	Auxin	FALSE
Solyc08g006150	Capang08g000981	Has Ortholog	Wild pepper	Auxin	FALSE
Solyc08g006150	Capana01g004097	Has Ortholog	Dom. pepper	Auxin	FALSE
Solyc08g006150	PGSC0003DMP400016874\tPGSC0003DMT400024692	Has Ortholog	Potato	Auxin	FALSE
Solyc08g006150	SLYcer08g00266	Has Ortholog	Tomato cherry	Auxin	FALSE
Solyc08g006150	Sopen08g002110	Has Ortholog	S. pennellii	Auxin	FALSE
Solyc08g006150	SPI08g00202	Has Ortholog	S. pimp.	Auxin	FALSE
Solyc08g006430	Capang08g000937	Has Ortholog	Wild pepper	Auxin	FALSE
Solyc08g006430	Capana01g004056	Has Ortholog	Dom. pepper	Auxin	FALSE
Solyc08g006430	PGSC0003DMP400045690\tPGSC0003DMT400067678	Has Ortholog	Potato	Auxin	FALSE
Solyc08g006430	SLYcer08g00293	Has Ortholog	Tomato cherry	Auxin	FALSE
Solyc08g006430	Sopen08g002370	Has Ortholog	S. pennellii	Auxin	FALSE
Solyc08g006430	SPI08g00227	Has Ortholog	S. pimp.	Auxin	FALSE
Solyc08g006700	Capang05g001641	Has Ortholog	Wild pepper	Auxin	FALSE
Solyc08g006700	Capana00g003887	Has Ortholog	Dom. pepper	Auxin	FALSE
Solyc08g006700	PGSC0003DMP400045627\tPGSC0003DMT400067603	Has Ortholog	Potato	Auxin	FALSE
Solyc08g006700	SLYcer08g00328	Has Ortholog	Tomato cherry	Auxin	FALSE
Solyc08g006700	Sopen08g002640	Has Ortholog	S. pennellii	Auxin	FALSE
Solyc08g014290	Capang08g000698	Has Ortholog	Wild pepper	Auxin	FALSE
Solyc08g014290	Capana01g003790	Has Ortholog	Dom. pepper	Auxin	FALSE
Solyc08g014290	PGSC0003DMP400057847\tPGSC0003DMT400086172	Has Ortholog	Potato	Auxin	FALSE
Solyc08g014290	SLYcer08g00684	Has Ortholog	Tomato cherry	Auxin	FALSE
Solyc08g014290	Sopen08g005200	Has Ortholog	S. pennellii	Auxin	FALSE
Solyc08g014290	SPI08g00657	Has Ortholog	S. pimp.	Auxin	FALSE
Solyc08g061220	Capang01g002964	Has Ortholog	Wild pepper	Auxin	FALSE
Solyc08g061220	Capana08g000346	Has Ortholog	Dom. pepper	Auxin	FALSE
Solyc08g061220	PGSC0003DMP400023022\tPGSC0003DMT400033822	Has Ortholog	Potato	Auxin	FALSE
Solyc08g061220	Sopen08g016600	Has Ortholog	S. pennellii	Auxin	FALSE
Solyc08g061480	Capang01g003105	Has Ortholog	Wild pepper	Auxin	FALSE
Solyc08g061480	Capana08g000516	Has Ortholog	Dom. pepper	Auxin	FALSE
Solyc08g061480	PGSC0003DMP400042201\tPGSC0003DMT400062683;PGSC0003DMP400042203\tPGSC0003DMT400062686	Has Ortholog	Potato	Auxin	TRUE
Solyc08g061480	PGSC0003DMP400042201\tPGSC0003DMT400062683;PGSC0003DMP400042203\tPGSC0003DMT400062686	Has Ortholog	Potato	Auxin	TRUE
